bnf_id,expected_openiti_uri,matched_uris,threshold,best_score,found_correct,num_false_positives,search_time_ms
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0241IbnHanbal.JamicFiCilal|0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0298HadiIlaHaqqYahya.JawabMasailTabari|0300Anonymous.RisalataHashimiWaKindi|0317AbuQasimBaghawi.HadithMuscab|0318IbnMuhammadHashimi.MusnadIbnAbiAwfa|0360AbuBakrAjurri.AkhbarAbiHafs|0365IbnMufassir.HadithCubaydAllahIbnCumar|0385Daraqutni.AkhbarCamrIbnCubayd|0385Daraqutni.FawaidMuntaqatDhuhli|0406SharifRadi.HaqaiqTawil|0420IbnCabdAllahKhatibIskafi.DurratTanzil|0463KhatibBaghdadi.JuzTuruqHadithIbnCumarFiTaraiHilal|0480IbnAhmadHakimHaskani.ShawahidTanzil|0538JarAllahZamakhshari.Kashshaf|0543IbnCarabiIshbili.QanunTawil|0596Nizami.MakhzanAsrar|0606FakhrDinRazi.MinAsrarTanzil|0620IbnQudamaMaqdisi.DhammTawil|0643IbnCumarMaqdisi.Juz|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|0708IbnIbrahimAbuJacfarGharnati.MalakTawilQatic|0741KhazinBaghdadi.LubabTawil|1014MullaCaliQari.Anwar|1016MuhibbDinHamawi.TanzilAyat|1357CallamaIqbal.AsrarKhudi|1375MuhammadHusaynHaykal.FaruqCumar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450HasanFarhanMaliki.FiCabdAllahIbnSaba|1450MurtadaCaskari.CabdAllahIbnSaba,0.7,100.00,True,31,1119.7
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0298HadiIlaHaqqYahya.JawabMasailTabari|0360AbuBakrAjurri.AkhbarAbiHafs|0365IbnMufassir.HadithCubaydAllahIbnCumar|0385Daraqutni.FawaidMuntaqatDhuhli|0420IbnCabdAllahKhatibIskafi.DurratTanzil|0463KhatibBaghdadi.JuzTuruqHadithIbnCumarFiTaraiHilal|0606FakhrDinRazi.MinAsrarTanzil|0620IbnQudamaMaqdisi.DhammTawil|0643IbnCumarMaqdisi.Juz|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|1014MullaCaliQari.Anwar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450HasanFarhanMaliki.FiCabdAllahIbnSaba|1450MurtadaCaskari.CabdAllahIbnSaba,0.75,100.00,True,16,1128.8
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0298HadiIlaHaqqYahya.JawabMasailTabari|0385Daraqutni.FawaidMuntaqatDhuhli|0606FakhrDinRazi.MinAsrarTanzil|0620IbnQudamaMaqdisi.DhammTawil|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|1014MullaCaliQari.Anwar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450HasanFarhanMaliki.FiCabdAllahIbnSaba|1450MurtadaCaskari.CabdAllahIbnSaba,0.8,100.00,True,11,1128.9
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0385Daraqutni.FawaidMuntaqatDhuhli|0606FakhrDinRazi.MinAsrarTanzil|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|1014MullaCaliQari.Anwar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450MurtadaCaskari.CabdAllahIbnSaba,0.85,100.00,True,8,1090.8
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0385Daraqutni.FawaidMuntaqatDhuhli|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|1014MullaCaliQari.Anwar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah,0.9,100.00,True,5,1089.5
OAI_10030933,0660IbnCadim.BughyatTalab,0231AbuTamam.Wahshiyyat|0320HakimTirmidhi.Manhiyyat|0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0385Daraqutni.FawaidMuntaqatDhuhli|0471IbnCaliBalkhi.Wakhshiyyat|0515CumarKhayyam.Rubaciyyat|0587AbuMacaliFurawi.Subaciyyat|0600CabdGhaniMaqdisi.Kamal|0607IbnTabarzad.JuzShurut|0617AbuBarakatIbnMulacib.Subaciyyat|0660IbnCadim.BughyatTalab|0707RashidDinBaghdadi.Subaciyyat|0843IbnKhatibNasiriyya.DurrMuntakhab|0902Sakhawi.Buldaniyyat|1299MuhammadCulayshMaliki.FathCali|1304AhmadFarisShidyaq.SaqCalaSaq|1331JurjiZaydan.AhmadIbnTulun|1359AminRihani.Rayhaniyyat|1377MuhammadCabdAllahDarraz.Din|1383CabbasMahmudCaqqad.AbuCala|1434CabdGhaffarMakkawi.Bakaiyyat|1450AhmadSamirDarwish.CharlesDarwin|1450LutfAllahSafiGulpaygani.MacaKhatib|1450ZahraSami.CharlesDarwin,0.7,100.00,True,24,2091.9
OAI_10030933,0660IbnCadim.BughyatTalab,0320HakimTirmidhi.Manhiyyat|0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0385Daraqutni.FawaidMuntaqatDhuhli|0600CabdGhaniMaqdisi.Kamal|0660IbnCadim.BughyatTalab|0843IbnKhatibNasiriyya.DurrMuntakhab|1304AhmadFarisShidyaq.SaqCalaSaq|1331JurjiZaydan.AhmadIbnTulun|1377MuhammadCabdAllahDarraz.Din|1383CabbasMahmudCaqqad.AbuCala|1434CabdGhaffarMakkawi.Bakaiyyat,0.75,100.00,True,11,2114.6
OAI_10030933,0660IbnCadim.BughyatTalab,0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0385Daraqutni.FawaidMuntaqatDhuhli|0600CabdGhaniMaqdisi.Kamal|0660IbnCadim.BughyatTalab|0843IbnKhatibNasiriyya.DurrMuntakhab|1377MuhammadCabdAllahDarraz.Din,0.8,100.00,True,6,2130.3
OAI_10030933,0660IbnCadim.BughyatTalab,0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0600CabdGhaniMaqdisi.Kamal|0660IbnCadim.BughyatTalab|1377MuhammadCabdAllahDarraz.Din,0.85,100.00,True,4,2143.6
OAI_10030933,0660IbnCadim.BughyatTalab,0381IbnBabawayhSaduq.KamalDin|0600CabdGhaniMaqdisi.Kamal|1377MuhammadCabdAllahDarraz.Din,0.9,100.00,False,3,2220.6
OAI_10882524,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0298HadiIlaHaqqYahya.MinMasailCalawi|0298HadiIlaHaqqYahya.RaddCalaHasan|0385Daraqutni.FawaidMuntaqatDhuhli|0584IbnMunqidhShayzari.Ictibar|0584IbnMusaHazimi.IctibarFiNasikhWaMansukh|0607IbnTabarzad.JuzShurut|0619IbnCabdWahidGhafiqi.LamahatAnwar|0711IbnIbrahimCimadDinWasiti.Rihla|0840MahdiAhmadIbnYahyaHasani.MatnAzhar|0845Maqrizi.Mawaciz|0845Maqrizi.Rasail|0877IbnMiftah.SharhAzhar|0973CabdWahhabShacrani.CuhudMuhammadiyya|1240IbnMuhsinHimi.Tabsira|1299MuhammadCulayshMaliki.FathCali|1331JurjiZaydan.AhmadIbnTulun|1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar|1346IlyasAyyubi.MuhammadCali|1369MuhammadRida.Muhammad|1374AhmadZakiAbuShadi.MinSama|1375MuhammadHusaynHaykal.HayatMuhammad|1377MuhammadCabdAllahDarraz.Din|1378CabdWahhabCazzam.MuhammadIqbal|1423TharwatAbaza.KhuyutSama|1423TharwatAbaza.TariqMinSama|1450Milani.NafahatAzhar,0.7,100.00,True,26,1229.4
OAI_10882524,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0298HadiIlaHaqqYahya.RaddCalaHasan|0385Daraqutni.FawaidMuntaqatDhuhli|0584IbnMunqidhShayzari.Ictibar|0845Maqrizi.Mawaciz|0877IbnMiftah.SharhAzhar|1240IbnMuhsinHimi.Tabsira|1331JurjiZaydan.AhmadIbnTulun|1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar|1369MuhammadRida.Muhammad|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din|1423TharwatAbaza.TariqMinSama,0.75,100.00,True,12,1196.9
OAI_10882524,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0298HadiIlaHaqqYahya.RaddCalaHasan|0385Daraqutni.FawaidMuntaqatDhuhli|0584IbnMunqidhShayzari.Ictibar|0845Maqrizi.Mawaciz|1369MuhammadRida.Muhammad|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din,0.8,100.00,True,7,1204.7
OAI_10882524,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0298HadiIlaHaqqYahya.RaddCalaHasan|0584IbnMunqidhShayzari.Ictibar|1369MuhammadRida.Muhammad|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din,0.85,100.00,False,6,1165.4
OAI_10882524,0845Maqrizi.Mawaciz,0182AbuYusufYacqub.Athar|0584IbnMunqidhShayzari.Ictibar|1369MuhammadRida.Muhammad|1374AhmadZakiAbuShadi.MinSama|1377MuhammadCabdAllahDarraz.Din,0.9,100.00,False,5,1210.7
OAI_10884186,0732AbuFida.MukhtasarFiAkhbar,0215IbnCabdAllahAnsari.HadithAnsari|0233YahyaIbnMacin.MacrifatRijal|0249Azraqi.AkhbarMakka|0258IbnYahyaNaysaburi.Juz|0273AbuMacsharBalkhi.MukhtasarMudkhal|0298HadiIlaHaqqYahya.MinMasailCalawi|0298HadiIlaHaqqYahya.MinMasailIbnCubaydAllah|0298HadiIlaHaqqYahya.RaddCalaHasan|0303Nasai.TasmiyatMashayikh|0310IbnCaliMadaini.Fawaid|0324IbnMuhammadNaysaburi.Fawaid|0329IbnAhmadRabaci.Hadith|0331IbnMukhalladCattar.MuntaqaHadith|0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal|0350IbnAbiJarrah.Hadith|0350MuhammadIbnIbrahim.Fawaid|0365AbuAhmadMudari.Fawaid|0372AbuBakrDaqqaq.Hadith|0375IbnJacfarJabari.Ahadith|0380AbuBakrKalabadhi.MacaniAkhbar|0385Daraqutni.FawaidMuntaqatDhuhli|0398IbnCaliHamadhani.Hadith|0414HilalHaffar.Juz|0425Anonymous.FawaidIbnSaltWaAbiAhmadFaradi|0428IbnSina.MukhtasarAwsat|0443AbuSacidGardizi.ZaynAkhbar|0448HilalSabi.Tarikh|0450AbuHasanShirazi.Ahadith|0450IbnYacqubDibaji.MinFawaid|0458Bayhaqi.MacrifatSunanWaAthar|0463AbuSacidGardizi.ZaynAkhbar|0488IbnWahhabHanbali.Masmucat|0498IbnMuhammadAbuBakrIsbahani.Juz|0510AbuKhattabKalwadhani.Hidaya|0525AbuQasimIbnHusayn.Amali|0563IbnCaliTamidhi.Juz|0571IbnCasakir.TabyinKadhib|0576AbuTahirSilafi.Mashyakha|0578IbnBashkuwal.ShuyukhIbnWahb|0584HasanRassas.MukhtasarFiIthbatAcrad|0600CabdGhaniMaqdisi.AkhbarHasanBasri|0607IbnTabarzad.JuzShurut|0637IbnAthirDiyaDin.MathalSair|0642TajDinIbnHammuyaJuwayni.Musalsalat|0643DiyaDinMaqdisi.Ahwal|0643DiyaDinMaqdisi.SifatNabi|0675AbuCabdAllahWarraq.Fawaid|0685IbnCibri.TarikhMukhtasarDuwal|0690IbnBukhari.AsnaMaqasid|0725BaybarsMansuri.MukhtarAkhbar|0732AbuFida.MukhtasarFiAkhbar|0749AbuFathIbnMuhibb.Juz|0775IbnAbiWafa.Juz|0786ShamsDinKirmani.Kawakib|0794BadrDinZarkashi.TasilBuna|0800IbnCabdRahmanCuthmani.TarikhSafad|0807Makkudi.SharhCalaAlfiyya|0808IbnCimadDinShihabDinAqfahsi.AkhbarNilMisr|0845Maqrizi.MukhtasarKamil|0845Maqrizi.Rasail|0874IbnTaghribirdi.NujumZahira|0879MuhyiDinKafiyaji.MukhtasarFiCilmAthar|0909IbnMabrid.GhayatSul|0919IbnGhaziMiknasi.TacallulBiRusumIsnad|0936IbnAhmadShammacHalabi.Thabt|0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic|1052HaqqiDihlawi.AkhbarAkhyar|1053MuhammadQasimFirishta.Tarikh|1095Anonymous.TaqwimTawarikh|1189AbuHasanGulistana.MujmalTawarikh|1220MuhammadKhalilMarcashi.MajmacTawarikh|1299MuhammadCulayshMaliki.FathCali|1304CabdHayyLaknawi.KhayrKhabr|1331JurjiZaydan.AhmadIbnTulun|1346IlyasAyyubi.MuhammadCali|1352AhmadZaki.HadaraIslamiyya|1363CumarTusun.MisrWaSudan|1366IliyasAbuShabaka.TarikhNapoleonBonaparte|1368IbrahimRamzi.MalikLear|1369AhmadHafizCawad.NapoleonFiMisr|1369MuhammadRida.Muhammad|1371MuhsinAminCamili.TalkhisAkhbarShucaraShica|1373MuhammadLutfiJumca.ThawratIslamWaBatalAnbiya|1375MuhammadHusaynHaykal.HayatMuhammad|1377CaliZarifAczami.TarikhBasra|1378CabdWahhabCazzam.MuhammadIqbal|1378YusufKaram.TabicaWaMaBacdaTabica|1379MuhammadAscadTalas.MisrWaSham|1383CabbasMahmudCaqqad.Allah|1414ZakiNajibMahmud.RuyaIslamiyya|1427NajibMahfuz.MisrQadima|1450IbnMukhtarSusi.DalilMuallafatMukhtar|1450InasMaghribi.TarikhIslamiMuqaddimaQasira|1450MuhammadRiyad.Misr|1450MuhammadRiyad.Qahira|1450MuhammadSacidJamalDin.AkhbarSalajiqatRum|1450Multiple.MawsucaMujazaFiTarikhIslami|1450ShaymaCabdHakimTaha.FiQalbMisr|MS0090IstanbulTopkapi.H1653|MS0098TehranUL.Ms9067,0.7,100.00,True,99,3012.6
